iter	Logloss
0	0.6439555859
1	0.5937042222
2	0.5467400087
3	0.5094296359
4	0.4741977547
5	0.4451162262
6	0.4156356064
7	0.3855721631
8	0.3620792465
9	0.3398295759
10	0.3211545961
11	0.3056394386
12	0.2910096186
13	0.2775018573
14	0.2669767599
15	0.2557441366
16	0.2441998507
17	0.2344278804
18	0.2257357801
19	0.2183137028
20	0.2109668089
21	0.2036910132
22	0.1962398446
23	0.1913571107
24	0.185101427
25	0.1803034309
26	0.1750850079
27	0.1703095819
28	0.1667790664
29	0.1634838174
30	0.1600264866
31	0.1573209984
32	0.153920592
33	0.1513867519
34	0.148812358
35	0.1460226681
36	0.1439679158
37	0.1417540116
38	0.1398753133
39	0.1382735663
40	0.1367879317
41	0.1349634237
42	0.1330391093
43	0.1317701429
44	0.1302953288
45	0.1285220971
46	0.1271924598
47	0.1258892685
48	0.1246347774
49	0.1234130537
50	0.1220063238
51	0.1207126882
52	0.1197445144
53	0.1186366659
54	0.117268297
55	0.1160103372
56	0.1151808297
57	0.1144289665
58	0.1133053583
59	0.1124335589
60	0.1113002062
61	0.1103140778
62	0.1092544585
63	0.1083453811
64	0.1075018535
65	0.1064658978
66	0.1053053354
67	0.1045427682
68	0.1035922863
69	0.1026931232
70	0.1020367021
71	0.1012404446
72	0.1000891416
73	0.09924619367
74	0.09873015587
75	0.09810309559
76	0.09760779254
77	0.09691573366
78	0.09616132051
79	0.09534424928
80	0.09451249364
81	0.09400582531
82	0.09353889631
83	0.09293854935
84	0.09230399719
85	0.09153517563
86	0.09088027025
87	0.09040470965
88	0.089856409
89	0.08930604329
90	0.08868349373
91	0.08812858184
92	0.08765635553
93	0.0872681264
94	0.08670608531
95	0.08628634287
96	0.08561789069
97	0.0851206733
98	0.0847134704
99	0.08415887888
100	0.08378619037
101	0.0831622089
102	0.08266759158
103	0.08214158029
104	0.08164401324
105	0.08120087991
106	0.08065319741
107	0.0801115751
108	0.07950023808
109	0.07923254331
110	0.07885654405
111	0.07856692315
112	0.07794169241
113	0.07763832715
114	0.07734906829
115	0.07688443636
116	0.07646211735
117	0.07596301773
118	0.07552158808
119	0.07491473541
